"AAPL.Open" "AAPL.High" "AAPL.Low" "AAPL.Close" "AAPL.Volume" "AAPL.Adjusted"
"2017-01-03" 28.950001 29.0825 28.690001 29.0375 115127600 27.297693
"2017-01-04" 28.9625 29.127501 28.9375 29.004999 84472400 27.267139
"2017-01-05" 28.98 29.215 28.952499 29.1525 88774400 27.405804
"2017-01-06" 29.195 29.540001 29.1175 29.477501 127007600 27.71133
"2017-01-09" 29.487499 29.8575 29.485001 29.747499 134247600 27.965151
"2017-01-10" 29.692499 29.844999 29.575001 29.7775 97848400 27.993353
"2017-01-11" 29.684999 29.9825 29.65 29.9375 110354400 28.143766
"2017-01-12" 29.725 29.825001 29.5525 29.8125 108344800 28.026258
"2017-01-13" 29.7775 29.905001 29.702499 29.76 104447600 27.976906
"2017-01-17" 29.584999 30.059999 29.555 30 137759200 28.202518
"2017-01-18" 30 30.125 29.9275 29.997499 94852000 28.200171
"2017-01-19" 29.85 30.022499 29.842501 29.945 102389200 28.150822
"2017-01-20" 30.112499 30.112499 29.932501 30 130391600 28.202518
"2017-01-23" 30 30.202499 29.942499 30.02 88200800 28.221323
"2017-01-24" 29.887501 30.025 29.875 29.9925 92844000 28.195471
"2017-01-25" 30.105 30.525 30.07 30.469999 129510400 28.644361
"2017-01-26" 30.4175 30.610001 30.4 30.485001 105350400 28.658464
"2017-01-27" 30.535 30.5875 30.4 30.487499 82251600 28.660814
"2017-01-30" 30.2325 30.407499 30.165001 30.407499 121510000 28.585606
"2017-01-31" 30.2875 30.3475 30.155001 30.3375 196804000 28.519802
"2017-02-01" 31.7575 32.622501 31.752501 32.1875 447940000 30.258953
"2017-02-02" 31.995001 32.3475 31.945 32.1325 134841600 30.207254
"2017-02-03" 32.077499 32.297501 32.040001 32.27 98029200 30.33651
"2017-02-06" 32.282501 32.625 32.224998 32.572498 107383600 30.620884
"2017-02-07" 32.634998 33.022499 32.612499 32.8825 152735200 30.912312
"2017-02-08" 32.837502 33.055 32.805 33.009998 92016400 31.032175
"2017-02-09" 32.912498 33.112499 32.779999 33.105 113399600 31.256418
"2017-02-10" 33.115002 33.235001 33.012501 33.029999 80262000 31.185595
"2017-02-13" 33.27 33.455002 33.1875 33.322498 92141600 31.461763
"2017-02-14" 33.3675 33.772499 33.3125 33.755001 132904800 31.870115
"2017-02-15" 33.880001 34.067501 33.654999 33.877499 142492400 31.985779
"2017-02-16" 33.9175 33.974998 33.709999 33.837502 90338400 31.948019
"2017-02-17" 33.775002 33.9575 33.775002 33.93 88792800 32.035343
"2017-02-21" 34.057499 34.1875 33.994999 34.174999 98028800 32.266663
"2017-02-22" 34.107498 34.279999 34.0275 34.2775 83347600 32.363445
"2017-02-23" 34.345001 34.369999 34.075001 34.1325 83152800 32.22654
"2017-02-24" 33.977501 34.165001 33.82 34.165001 87106400 32.257214
"2017-02-27" 34.285 34.360001 34.07 34.232498 81029600 32.320957
"2017-02-28" 34.27 34.360001 34.174999 34.247501 93931600 32.335117
"2017-03-01" 34.4725 35.037498 34.400002 34.947498 145658400 32.996025
"2017-03-02" 35 35.07 34.689999 34.740002 104844000 32.800117
"2017-03-03" 34.695 34.9575 34.647499 34.945 84432400 32.993671
"2017-03-06" 34.842499 34.942501 34.650002 34.834999 8.7e+07 32.889812
"2017-03-07" 34.764999 34.994999 34.697498 34.880001 69785200 32.932301
"2017-03-08" 34.737499 34.950001 34.705002 34.75 74828800 32.809555
"2017-03-09" 34.685001 34.697498 34.262501 34.669998 88623600 32.734024
"2017-03-10" 34.8125 34.84 34.66 34.785 78451200 32.842602
"2017-03-13" 34.712502 34.857498 34.705002 34.799999 69686800 32.856766
"2017-03-14" 34.825001 34.912498 34.709999 34.747501 61236400 32.807201
"2017-03-15" 34.852501 35.1875 34.7575 35.115002 102767200 33.154182
"2017-03-16" 35.18 35.255001 35.064999 35.172501 76928000 33.208458
"2017-03-17" 35.25 35.25 34.9725 34.997501 175540000 33.043228
"2017-03-20" 35.099998 35.375 35.057499 35.365002 86168000 33.390217
"2017-03-21" 35.5275 35.700001 34.932499 34.959999 158119600 33.007832
"2017-03-22" 34.962502 35.400002 34.939999 35.355 103440800 33.380779
"2017-03-23" 35.314999 35.395 35.1525 35.23 81385200 33.262753
"2017-03-24" 35.375 35.435001 35.087502 35.16 89582400 33.196655
"2017-03-27" 34.8475 35.305 34.654999 35.220001 94300400 33.253315
"2017-03-28" 35.227501 36.009998 35.154999 35.950001 133499200 33.942539
"2017-03-29" 35.919998 36.122501 35.797501 36.029999 116760000 34.018093
"2017-03-30" 36.047501 36.125 35.875 35.982498 84829200 33.973236
"2017-03-31" 35.93 36.067501 35.752499 35.915001 78646800 33.909504
"2017-04-03" 35.927502 36.029999 35.762501 35.924999 79942800 33.918938
"2017-04-04" 35.8125 36.2225 35.7925 36.192501 79565600 34.171513
"2017-04-05" 36.055 36.365002 35.952499 36.005001 110871600 33.994476
"2017-04-06" 36.072498 36.130001 35.862499 35.915001 84596000 33.909504
"2017-04-07" 35.932499 36.044998 35.817501 35.834999 66688800 33.833973
"2017-04-10" 35.900002 35.970001 35.724998 35.7925 75733600 33.793846
"2017-04-11" 35.735001 35.837502 35.014999 35.407501 121517600 33.430347
"2017-04-12" 35.400002 35.537498 35.252499 35.450001 81400000 33.470467
"2017-04-13" 35.477501 35.595001 35.262501 35.262501 71291600 33.293446
"2017-04-17" 35.369999 35.470001 35.217499 35.4575 66328400 33.477554
"2017-04-18" 35.352501 35.509998 35.2775 35.299999 58790000 33.328842
"2017-04-19" 35.470001 35.5 35.112499 35.169998 69313600 33.206104
"2017-04-20" 35.305 35.73 35.290001 35.610001 93278400 33.621544
"2017-04-21" 35.610001 35.669998 35.462502 35.567501 69283600 33.581406
"2017-04-24" 35.875 35.987499 35.794998 35.91 68537200 33.90477
"2017-04-25" 35.977501 36.224998 35.967499 36.1325 75486000 34.114853
"2017-04-26" 36.1175 36.150002 35.845001 35.919998 80164800 33.91423
"2017-04-27" 35.98 36.040001 35.827499 35.947498 56985200 33.940186
"2017-04-28" 36.022499 36.075001 35.817501 35.912498 83441600 33.907135
"2017-05-01" 36.275002 36.799999 36.240002 36.645 134411600 34.59874
"2017-05-02" 36.884998 37.022499 36.709999 36.877499 181408800 34.818253
"2017-05-03" 36.397499 36.872501 36.067501 36.764999 182788000 34.712044
"2017-05-04" 36.630001 36.785 36.452499 36.6325 93487600 34.586933
"2017-05-05" 36.689999 37.244999 36.689999 37.240002 109310800 35.160515
"2017-05-08" 37.2575 38.424999 37.2575 38.252499 195009600 36.116474
"2017-05-09" 38.467499 38.720001 38.362499 38.497501 156521600 36.347797
"2017-05-10" 38.407501 38.485001 38.0275 38.314999 103222800 36.175488
"2017-05-11" 38.112499 38.517502 38.077499 38.487499 109020400 36.488342
"2017-05-12" 38.674999 39.105 38.6675 39.025002 130108000 36.997921
"2017-05-15" 39.002499 39.162498 38.762501 38.924999 104038800 36.903118
"2017-05-16" 38.985001 39.014999 38.68 38.8675 80194000 36.848606
"2017-05-17" 38.400002 38.642502 37.427502 37.5625 203070800 35.611385
"2017-05-18" 37.817501 38.334999 37.782501 38.134998 134272800 36.154156
"2017-05-19" 38.345001 38.494999 38.157501 38.264999 107843200 36.277401
"2017-05-22" 38.5 38.645 38.227501 38.497501 91865600 36.497826
"2017-05-23" 38.724998 38.724998 38.327499 38.450001 79675600 36.452789
"2017-05-24" 38.459999 38.5425 38.1675 38.334999 76712000 36.343758
"2017-05-25" 38.432499 38.587502 38.2575 38.467499 76942400 36.469387
"2017-05-26" 38.5 38.560001 38.327499 38.4025 87710400 36.407753
"2017-05-30" 38.355 38.607498 38.3325 38.4175 80507600 36.421982
"2017-05-31" 38.4925 38.5425 38.095001 38.189999 97804800 36.206299
"2017-06-01" 38.2925 38.3325 38.055 38.294998 65616400 36.30584
"2017-06-02" 38.395 38.862499 38.2225 38.862499 111082800 36.843861
"2017-06-05" 38.584999 38.612499 38.365002 38.482498 101326800 36.483601
"2017-06-06" 38.474998 38.952499 38.445 38.612499 106499600 36.606857
"2017-06-07" 38.755001 38.994999 38.619999 38.842499 84278400 36.824898
"2017-06-08" 38.8125 38.884998 38.599998 38.747501 85003200 36.73484
"2017-06-09" 38.797501 38.797501 36.505001 37.244999 259530800 35.310387
"2017-06-12" 36.435001 36.522499 35.627499 36.355 289229200 34.466614
"2017-06-13" 36.790001 36.862499 36.287498 36.647499 136661600 34.743912
"2017-06-14" 36.875 36.875 35.959999 36.290001 126124800 34.404987
"2017-06-15" 35.830002 36.119999 35.552502 36.072498 128661600 34.198784
"2017-06-16" 35.945 36.125 35.549999 35.567501 201444400 33.720016
"2017-06-19" 35.915001 36.685001 35.915001 36.584999 130165600 34.684658
"2017-06-20" 36.717499 36.717499 36.235001 36.252499 99600400 34.369438
"2017-06-21" 36.380001 36.517502 36.1525 36.467499 85063200 34.573265
"2017-06-22" 36.442501 36.674999 36.279999 36.407501 76425200 34.516384
"2017-06-23" 36.282501 36.790001 36.2775 36.57 141757600 34.670444
"2017-06-26" 36.7925 37.07 36.345001 36.455002 102769600 34.561428
